"","Text","Types","Tokens","Sentences","pattern"
"1","ODREDNICA 1",625,1167,52,"ODREDNICA 1"
"2","ODREDNICA 2",3873,10588,431,"ODREDNICA 2"
"3","ODREDNICA 3",6,6,1,"ODREDNICA 3"
"4","ODREDNICA 4",423,850,48,"ODREDNICA 4"
"5","ODREDNICA 5",347,592,22,"ODREDNICA 5"
"6","ODREDNICA 6",920,1873,67,"ODREDNICA 6"
"7","ODREDNICA 7",1039,2192,93,"ODREDNICA 7"
"8","ODREDNICA 8",661,1227,43,"ODREDNICA 8"
"9","ODREDNICA 9",284,500,23,"ODREDNICA 9"
"10","ODREDNICA 10",2333,6119,289,"ODREDNICA 10"
"11","ODREDNICA 11",938,1963,75,"ODREDNICA 11"
"12","ODREDNICA 12",915,1920,60,"ODREDNICA 12"
"13","ODREDNICA 13",867,1829,59,"ODREDNICA 13"
"14","ODREDNICA 14",219,352,14,"ODREDNICA 14"
"15","ODREDNICA 15",837,1737,64,"ODREDNICA 15"
"16","ODREDNICA 16",569,1089,34,"ODREDNICA 16"
"17","ODREDNICA 17",540,996,37,"ODREDNICA 17"
"18","ODREDNICA 18",200,297,12,"ODREDNICA 18"
"19","ODREDNICA 19",90,128,6,"ODREDNICA 19"
"20","ODREDNICA 20",502,898,36,"ODREDNICA 20"
"21","ODREDNICA 21",858,1808,75,"ODREDNICA 21"
"22","ODREDNICA 22",163,224,10,"ODREDNICA 22"
"23","ODREDNICA 23",3182,9610,460,"ODREDNICA 23"
"24","ODREDNICA 24",135,185,13,"ODREDNICA 24"
"25","ODREDNICA 25",1309,2636,103,"ODREDNICA 25"
"26","ODREDNICA 26",342,599,26,"ODREDNICA 26"
"27","ODREDNICA 27",218,344,15,"ODREDNICA 27"
"28","ODREDNICA 28",141,204,6,"ODREDNICA 28"
"29","ODREDNICA 29",1149,2469,93,"ODREDNICA 29"
"30","ODREDNICA 30",611,1216,56,"ODREDNICA 30"
"31","ODREDNICA 31",608,1124,47,"ODREDNICA 31"
"32","ODREDNICA 32",334,543,16,"ODREDNICA 32"
"33","ODREDNICA 33",816,1665,64,"ODREDNICA 33"
"34","ODREDNICA 34",238,410,19,"ODREDNICA 34"
"35","ODREDNICA 35",3440,9397,345,"ODREDNICA 35"
"36","ODREDNICA 36",183,261,10,"ODREDNICA 36"
"37","ODREDNICA 37",726,1385,46,"ODREDNICA 37"
"38","ODREDNICA 38",405,719,29,"ODREDNICA 38"
"39","ODREDNICA 39",411,782,27,"ODREDNICA 39"
"40","ODREDNICA 40",149,225,6,"ODREDNICA 40"
"41","ODREDNICA 41",1166,2562,96,"ODREDNICA 41"
"42","ODREDNICA 42",987,1981,79,"ODREDNICA 42"
"43","ODREDNICA 43",186,341,15,"ODREDNICA 43"
"44","ODREDNICA 44",972,1914,68,"ODREDNICA 44"
"45","ODREDNICA 45",2559,6907,391,"ODREDNICA 45"
